bnumber,gene_name,has_rule,normalized_rule_v1,normalized_rule_v2,tfs_substituted,tfs_still_unresolved,n_substituted
b1007,rutF,True,((b3870 OR b4401) AND NOT RutR),((b3870 OR b4401) AND NOT (NOT (ura_e > 0 OR thy_e>0))),RutR→(NOT (ura_e > 0 OR thy_e>0)),RutR [R] metabolite-sensing,1
b1008,rutE,True,((b3870 OR b4401) AND NOT RutR),((b3870 OR b4401) AND NOT (NOT (ura_e > 0 OR thy_e>0))),RutR→(NOT (ura_e > 0 OR thy_e>0)),RutR [R] metabolite-sensing,1
b1009,rutD,True,((b3870 OR b4401) AND NOT RutR),((b3870 OR b4401) AND NOT (NOT (ura_e > 0 OR thy_e>0))),RutR→(NOT (ura_e > 0 OR thy_e>0)),RutR [R] metabolite-sensing,1
b1010,rutC,True,((b3870 OR b4401) AND NOT RutR),((b3870 OR b4401) AND NOT (NOT (ura_e > 0 OR thy_e>0))),RutR→(NOT (ura_e > 0 OR thy_e>0)),RutR [R] metabolite-sensing,1
b1011,rutB,True,((b3870 OR b1988 OR b4401) AND NOT RutR),((b3870 OR b1988 OR b4401) AND NOT (NOT (ura_e > 0 OR thy_e>0))),RutR→(NOT (ura_e > 0 OR thy_e>0)),RutR [R] metabolite-sensing,1
b1012,rutA,True,((b3870 OR b4401) AND NOT RutR),((b3870 OR b4401) AND NOT (NOT (ura_e > 0 OR thy_e>0))),RutR→(NOT (ura_e > 0 OR thy_e>0)),RutR [R] metabolite-sensing,1
b1019,efeB,True,(NOT b0683),(NOT b0683),,,0
b1021,pgaD,True,(b0020 AND NOT carbon storage regulator CsrA AND NOT b3405),(b0020 AND FALSE AND NOT b3405),,carbon [P] named-variable; storage [P] named-variable; regulator [P] named-variable; CsrA [P] proxy-signal,0
b1022,pgaC,True,(b0020 AND NOT carbon storage regulator CsrA AND NOT b3405),(b0020 AND FALSE AND NOT b3405),,carbon [P] named-variable; storage [P] named-variable; regulator [P] named-variable; CsrA [P] proxy-signal,0
b1025,ycdT,True,(NOT carbon storage regulator CsrA AND NOT b1988),(FALSE AND NOT b1988),,carbon [P] named-variable; storage [P] named-variable; regulator [P] named-variable; CsrA [P] proxy-signal,0
b1059,solA,False,TRUE,TRUE,,,0
b1064,grxB,False,TRUE,TRUE,,,0
b1069,murJ,False,TRUE,TRUE,,,0
b1090,plsX,False,TRUE,TRUE,,,0
b1094,acpP,True,(b4401 OR b0113),(b4401 OR b0113),,,0
b1097,yceG,False,TRUE,TRUE,,,0
b1102,fhuE,True,(NOT GlaR AND NOT b0683),(NOT (NOT (glcr_e > 0)) AND NOT b0683),GlaR→(NOT (glcr_e > 0)),GlaR [R] metabolite-sensing,1
b1103,hinT,True,(GlaR),((NOT (glcr_e > 0))),GlaR→(NOT (glcr_e > 0)),GlaR [R] metabolite-sensing,1
b1106,thiK,False,TRUE,TRUE,,,0
b1107,nagZ,False,TRUE,TRUE,,,0
b1113,ldtC,True,(b3912),(b3912),,,0
b1119,nagK,False,TRUE,TRUE,,,0
b1134,nudJ,False,TRUE,TRUE,,,0
b1185,dsbB,True,(b4401),(b4401),,,0
b1192,ldcA,False,TRUE,TRUE,,,0
b1193,emtA,False,TRUE,TRUE,,,0
b1206,dauA,False,TRUE,TRUE,,,0
b1243,oppA,True,((b1988 OR b4401) AND NOT b0889 AND NOT b0683),((b1988 OR b4401) AND NOT b0889 AND NOT b0683),,,0
b1244,oppB,True,(NOT b0889 AND NOT b0683),(NOT b0889 AND NOT b0683),,,0
b1245,oppC,True,(NOT b1988 AND NOT b0889 AND NOT b0683),(NOT b1988 AND NOT b0889 AND NOT b0683),,,0
b1246,oppD,True,(NOT b0889 AND NOT b0683),(NOT b0889 AND NOT b0683),,,0
b1247,oppF,True,(b0683 AND NOT b0889),(b0683 AND NOT b0889),,,0
b1250,kch,False,TRUE,TRUE,,,0
b1252,tonB,True,(b0683),(b0683),,,0
b1285,gmr,True,(NOT FliZ),(NOT (BiomassEcoli > 0)),FliZ→(BiomassEcoli > 0),FliZ [P] named-variable,1
b1291,sapD,False,TRUE,TRUE,,,0
b1296,puuP,True,(NOT PuuR),(NOT (NOT (gam_e > 0))),PuuR→(NOT (gam_e > 0)),PuuR [R] metabolite-sensing,1
b1298,puuD,True,(NOT PuuR AND NOT b4401),(NOT (NOT (gam_e > 0)) AND NOT b4401),PuuR→(NOT (gam_e > 0)),PuuR [R] metabolite-sensing,1
b1301,puuB,True,(b3237 AND NOT PuuR),(b3237 AND NOT (NOT (gam_e > 0))),PuuR→(NOT (gam_e > 0)),PuuR [R] metabolite-sensing,1
b1308,pspE,True,(PspF OR IHF),((Stress) OR (BiomassEcoli > 0)),PspF→(Stress); IHF→(BiomassEcoli > 0),PspF [P] two-component; IHF [P] proxy-signal,2
b1317,ycjU,True,(NOT YcjW),(NOT (TRUE)),YcjW→(TRUE),YcjW [R] metabolite-sensing,1
b1319,ompG,True,(NOT YcjW),(NOT (TRUE)),YcjW→(TRUE),YcjW [R] metabolite-sensing,1
b1325,ycjG,True,(NOT PgrR),(NOT (NOT (gam_e > 0))),PgrR→(NOT (gam_e > 0)),PgrR [R] metabolite-sensing,1
b1326,mpaA,True,(NOT PgrR),(NOT (NOT (gam_e > 0))),PgrR→(NOT (gam_e > 0)),PgrR [R] metabolite-sensing,1
b1329,mppA,True,(NOT PgrR),(NOT (NOT (gam_e > 0))),PgrR→(NOT (gam_e > 0)),PgrR [R] metabolite-sensing,1
b1330,ynaI,False,TRUE,TRUE,,,0
b1336,abgT,False,TRUE,TRUE,,,0
b1337,abgB,False,TRUE,TRUE,,,0
b1338,abgA,True,(NOT b1988),(NOT b1988),,,0
b1341,ydaM,True,(NOT RprA AND NOT OmrB AND NOT OmrA),(NOT (Stress) AND NOT (NOT (o2_e > 0)) AND NOT (NOT (o2_e > 0))),RprA→(Stress); OmrA→(NOT (o2_e > 0)); OmrB→(NOT (o2_e > 0)),RprA [P] proxy-signal; OmrB [P] proxy-signal; OmrA [P] proxy-signal,3
b1377,ompN,True,(b4062 AND NOT b1988),(b4062 AND NOT b1988),,,0
b1378,pfo,True,(b4062),(b4062),,,0
b1387,paaZ,True,((SrsR OR b3357 OR IHF) AND NOT PaaX),(((Stress) OR b3357 OR (BiomassEcoli > 0)) AND NOT (phenac_e > 0)),PaaX→(phenac_e > 0); SrsR→(Stress); IHF→(BiomassEcoli > 0),SrsR [R] metabolite-sensing; IHF [P] proxy-signal; PaaX [R] metabolite-sensing,3
b1388,paaA,True,((SrsR OR b3357 OR IHF OR SlyA) AND NOT PaaX),(((Stress) OR b3357 OR (BiomassEcoli > 0) OR (Stress)) AND NOT (phenac_e > 0)),PaaX→(phenac_e > 0); SlyA→(Stress); SrsR→(Stress); IHF→(BiomassEcoli > 0),SrsR [R] metabolite-sensing; IHF [P] proxy-signal; SlyA [R] metabolite-sensing; PaaX [R] metabolite-sensing,4
b1389,paaB,True,((SrsR OR b3357 OR IHF OR SlyA) AND NOT PaaX),(((Stress) OR b3357 OR (BiomassEcoli > 0) OR (Stress)) AND NOT (phenac_e > 0)),PaaX→(phenac_e > 0); SlyA→(Stress); SrsR→(Stress); IHF→(BiomassEcoli > 0),SrsR [R] metabolite-sensing; IHF [P] proxy-signal; SlyA [R] metabolite-sensing; PaaX [R] metabolite-sensing,4
b1390,paaC,True,((SrsR OR b3357 OR IHF OR SlyA) AND NOT PaaX),(((Stress) OR b3357 OR (BiomassEcoli > 0) OR (Stress)) AND NOT (phenac_e > 0)),PaaX→(phenac_e > 0); SlyA→(Stress); SrsR→(Stress); IHF→(BiomassEcoli > 0),SrsR [R] metabolite-sensing; IHF [P] proxy-signal; SlyA [R] metabolite-sensing; PaaX [R] metabolite-sensing,4
b1391,paaD,True,((SrsR OR b3357 OR IHF OR SlyA) AND NOT PaaX),(((Stress) OR b3357 OR (BiomassEcoli > 0) OR (Stress)) AND NOT (phenac_e > 0)),PaaX→(phenac_e > 0); SlyA→(Stress); SrsR→(Stress); IHF→(BiomassEcoli > 0),SrsR [R] metabolite-sensing; IHF [P] proxy-signal; SlyA [R] metabolite-sensing; PaaX [R] metabolite-sensing,4
b1392,paaE,True,((SrsR OR b3357 OR IHF OR SlyA) AND NOT PaaX),(((Stress) OR b3357 OR (BiomassEcoli > 0) OR (Stress)) AND NOT (phenac_e > 0)),PaaX→(phenac_e > 0); SlyA→(Stress); SrsR→(Stress); IHF→(BiomassEcoli > 0),SrsR [R] metabolite-sensing; IHF [P] proxy-signal; SlyA [R] metabolite-sensing; PaaX [R] metabolite-sensing,4
b1393,paaF,True,((SrsR OR b3357 OR IHF OR SlyA) AND NOT PaaX),(((Stress) OR b3357 OR (BiomassEcoli > 0) OR (Stress)) AND NOT (phenac_e > 0)),PaaX→(phenac_e > 0); SlyA→(Stress); SrsR→(Stress); IHF→(BiomassEcoli > 0),SrsR [R] metabolite-sensing; IHF [P] proxy-signal; SlyA [R] metabolite-sensing; PaaX [R] metabolite-sensing,4
b1394,paaG,True,((SrsR OR b3357 OR IHF OR SlyA) AND NOT PaaX),(((Stress) OR b3357 OR (BiomassEcoli > 0) OR (Stress)) AND NOT (phenac_e > 0)),PaaX→(phenac_e > 0); SlyA→(Stress); SrsR→(Stress); IHF→(BiomassEcoli > 0),SrsR [R] metabolite-sensing; IHF [P] proxy-signal; SlyA [R] metabolite-sensing; PaaX [R] metabolite-sensing,4
b1395,paaH,True,((SrsR OR b3357 OR IHF OR SlyA) AND NOT PaaX),(((Stress) OR b3357 OR (BiomassEcoli > 0) OR (Stress)) AND NOT (phenac_e > 0)),PaaX→(phenac_e > 0); SlyA→(Stress); SrsR→(Stress); IHF→(BiomassEcoli > 0),SrsR [R] metabolite-sensing; IHF [P] proxy-signal; SlyA [R] metabolite-sensing; PaaX [R] metabolite-sensing,4
b1396,paaI,True,((SrsR OR b3357 OR IHF OR SlyA) AND NOT PaaX),(((Stress) OR b3357 OR (BiomassEcoli > 0) OR (Stress)) AND NOT (phenac_e > 0)),PaaX→(phenac_e > 0); SlyA→(Stress); SrsR→(Stress); IHF→(BiomassEcoli > 0),SrsR [R] metabolite-sensing; IHF [P] proxy-signal; SlyA [R] metabolite-sensing; PaaX [R] metabolite-sensing,4
b1397,paaJ,True,((SrsR OR b3357 OR IHF OR SlyA) AND NOT PaaX),(((Stress) OR b3357 OR (BiomassEcoli > 0) OR (Stress)) AND NOT (phenac_e > 0)),PaaX→(phenac_e > 0); SlyA→(Stress); SrsR→(Stress); IHF→(BiomassEcoli > 0),SrsR [R] metabolite-sensing; IHF [P] proxy-signal; SlyA [R] metabolite-sensing; PaaX [R] metabolite-sensing,4
b1400,paaY,True,(NOT PaaX),(NOT (phenac_e > 0)),PaaX→(phenac_e > 0),PaaX [R] metabolite-sensing,1
b1430,tehB,False,TRUE,TRUE,,,0
b1444,patD,True,(b1988),(b1988),,,0
b1448,mnaT,False,TRUE,TRUE,,,0
b1449,curA,True,(NOT b1988),(NOT b1988),,,0
b1453,ansP,True,(NOT b1988),(NOT b1988),,,0
b1463,nhoA,False,TRUE,TRUE,,,0
b1465,narV,True,(b3405),(b3405),,,0
b1466,narW,True,(b3405),(b3405),,,0
b1467,narY,True,(b3405),(b3405),,,0
b1468,narZ,True,(b3405),(b3405),,,0
b1473,yddG,False,TRUE,TRUE,,,0
b1478,adhP,True,(NOT b0683),(NOT b0683),,,0
b1483,ddpF,False,TRUE,TRUE,,,0
b1484,ddpD,False,TRUE,TRUE,,,0
b1485,ddpC,True,(NOT b1988),(NOT b1988),,,0
b1486,ddpB,False,TRUE,TRUE,,,0
b1487,ddpA,False,TRUE,TRUE,,,0
b1488,ddpX,False,TRUE,TRUE,,,0
b1489,dosP,False,TRUE,TRUE,,,0
b1490,dosC,False,TRUE,TRUE,,,0
b1511,lsrK,True,(b3357 AND NOT LsrR),(b3357 AND NOT (NOT (BiomassEcoli > 0))),LsrR→(NOT (BiomassEcoli > 0)),LsrR [R] metabolite-sensing,1
b1513,lsrA,True,(b3357 AND NOT LsrR),(b3357 AND NOT (NOT (BiomassEcoli > 0))),LsrR→(NOT (BiomassEcoli > 0)),LsrR [R] metabolite-sensing,1
b1514,lsrC,True,(b3357 AND NOT LsrR),(b3357 AND NOT (NOT (BiomassEcoli > 0))),LsrR→(NOT (BiomassEcoli > 0)),LsrR [R] metabolite-sensing,1
b1515,lsrD,True,(b3357 AND NOT LsrR),(b3357 AND NOT (NOT (BiomassEcoli > 0))),LsrR→(NOT (BiomassEcoli > 0)),LsrR [R] metabolite-sensing,1
b1516,lsrB,True,(b3357 AND NOT LsrR),(b3357 AND NOT (NOT (BiomassEcoli > 0))),LsrR→(NOT (BiomassEcoli > 0)),LsrR [R] metabolite-sensing,1
b1517,lsrF,True,(b3357 AND NOT LsrR),(b3357 AND NOT (NOT (BiomassEcoli > 0))),LsrR→(NOT (BiomassEcoli > 0)),LsrR [R] metabolite-sensing,1
b1518,lsrG,True,((GlaR OR b3357) AND NOT LsrR),(((NOT (glcr_e > 0)) OR b3357) AND NOT (NOT (BiomassEcoli > 0))),LsrR→(NOT (BiomassEcoli > 0)); GlaR→(NOT (glcr_e > 0)),GlaR [R] metabolite-sensing; LsrR [R] metabolite-sensing,2
b1525,sad,True,(PtrR),((NOT (ptrc_e > 0))),PtrR→(NOT (ptrc_e > 0)),PtrR [R] metabolite-sensing,1
b1528,ydeA,False,TRUE,TRUE,,,0
b1533,eamA,True,(NOT b1988 AND NOT b0683),(NOT b1988 AND NOT b0683),,,0
b1535,dgcZ,True,(b3912 AND NOT carbon storage regulator CsrA),(b3912 AND FALSE),,carbon [P] named-variable; storage [P] named-variable; regulator [P] named-variable; CsrA [P] proxy-signal,0
b1539,ydfG,False,TRUE,TRUE,,,0
b1587,ynfE,True,(b1334 AND NOT b1221 AND NOT b1988),(b1334 AND NOT b1221 AND NOT b1988),,,0
b1588,ynfF,True,(b1334 AND NOT b1221 AND NOT b1988),(b1334 AND NOT b1221 AND NOT b1988),,,0
b1589,ynfG,True,((b1988 OR b1334) AND NOT b1221),((b1988 OR b1334) AND NOT b1221),,,0
b1590,ynfH,True,(b1334 AND NOT b1221),(b1334 AND NOT b1221),,,0
b1592,clcB,False,TRUE,TRUE,,,0
b1599,mdtI,True,(NOT H-NS),(NOT H-TRUE),,H-NS [P] proxy-signal,0
b1600,mdtJ,True,(NOT H-NS),(NOT H-TRUE),,H-NS [P] proxy-signal,0
b1601,tqsA,True,(b0683),(b0683),,,0
b1606,folM,False,TRUE,TRUE,,,0
b1616,uidB,False,TRUE,TRUE,,,0
b1617,uidA,False,TRUE,TRUE,,,0
b1619,hdhA,False,TRUE,TRUE,,,0
