bnumber,gene_name,has_rule,normalized_rule_v1,normalized_rule_v2,tfs_substituted,tfs_still_unresolved,n_substituted
b3589,yiaY,False,TRUE,TRUE,,,0
b3590,selB,True,(NOT SelB-L-selenocysteinyl-tRNA<sup>sec</sup>),(FALSE),,SelB-L-selenocysteinyl-tRNA<sup [P] named-variable; sec</sup [P] named-variable,0
b3610,grxC,False,TRUE,TRUE,,,0
b3614,yibQ,True,(NOT Cra),(NOT (NOT (glc_DASH_D_e > 0))),Cra→(NOT (glc_DASH_D_e > 0)),Cra [P] named-variable,1
b3623,waaU,False,TRUE,TRUE,,,0
b3624,waaZ,True,(b1531 OR b4062),(b1531 OR b4062),,,0
b3625,waaY,True,(b1531 OR b4062),(b1531 OR b4062),,,0
b3628,waaB,False,TRUE,TRUE,,,0
b3629,waaS,False,TRUE,TRUE,,,0
b3630,waaP,False,TRUE,TRUE,,,0
b3632,waaQ,False,TRUE,TRUE,,,0
b3639,dfp,False,TRUE,TRUE,,,0
b3650,spoT,False,TRUE,TRUE,,,0
b3656,yicI,False,TRUE,TRUE,,,0
b3662,nepI,True,(b4062),(b4062),,,0
b3664,adeQ,False,TRUE,TRUE,,,0
b3679,yidK,False,TRUE,TRUE,,,0
b3697,yidA,False,TRUE,TRUE,,,0
b3713,chrR,False,TRUE,TRUE,,,0
b3714,adeP,False,TRUE,TRUE,,,0
b3715,yieH,True,(NOT b1988),(NOT b1988),,,0
b3721,bglB,True,((b3357 OR RcsB-BglJ OR LeuO) AND NOT H-NS AND NOT b1988 AND NOT b3261),((b3357 OR (Stress)-(Stress) OR (NOT (leu_DASH_L_e > 0))) AND NOT H-TRUE AND NOT b1988 AND NOT b3261),BglJ→(Stress); LeuO→(NOT (leu_DASH_L_e > 0)); RcsB→(Stress),RcsB-BglJ [R] metabolite-sensing; LeuO [P] named-variable; H-NS [P] proxy-signal,3
b3722,bglF,True,((b3357 OR RcsB-BglJ OR LeuO) AND NOT H-NS AND NOT b3261),((b3357 OR (Stress)-(Stress) OR (NOT (leu_DASH_L_e > 0))) AND NOT H-TRUE AND NOT b3261),BglJ→(Stress); LeuO→(NOT (leu_DASH_L_e > 0)); RcsB→(Stress),RcsB-BglJ [R] metabolite-sensing; LeuO [P] named-variable; H-NS [P] proxy-signal,3
b3747,kup,False,TRUE,TRUE,,,0
b3779,gpp,False,TRUE,TRUE,,,0
b3781,trxA,True,(NOT b3357),(NOT b3357),,,0
b3785,wzzE,True,(b1988),(b1988),,,0
b3792,wzxE,False,TRUE,TRUE,,,0
b3812,yigB,False,TRUE,TRUE,,,0
b3816,corA,False,TRUE,TRUE,,,0
b3823,rhtC,False,TRUE,TRUE,,,0
b3824,rhtB,False,TRUE,TRUE,,,0
b3826,yigL,True,(b1988),(b1988),,,0
b3844,fre,False,TRUE,TRUE,,,0
b3856,mobB,False,TRUE,TRUE,,,0
b3857,mobA,True,(NOT b1988),(NOT b1988),,,0
b3860,dsbA,True,(b3912 AND NOT b1988),(b3912 AND NOT b1988),,,0
b3867,hemN,True,(NOT b1988),(NOT b1988),,,0
b3875,ompL,False,TRUE,TRUE,,,0
b3876,yihO,True,(NOT b1988),(NOT b1988),,,0
b3877,yihP,False,TRUE,TRUE,,,0
b3878,yihQ,True,(NOT b1988),(NOT b1988),,,0
b3880,yihS,True,(NOT CsqR),(NOT (NOT (chb_e > 0))),CsqR→(NOT (chb_e > 0)),CsqR [R] metabolite-sensing,1
b3881,yihT,True,(NOT CsqR),(NOT (NOT (chb_e > 0))),CsqR→(NOT (chb_e > 0)),CsqR [R] metabolite-sensing,1
b3882,yihU,True,(NOT CsqR),(NOT (NOT (chb_e > 0))),CsqR→(NOT (chb_e > 0)),CsqR [R] metabolite-sensing,1
b3883,yihV,True,(NOT CsqR),(NOT (NOT (chb_e > 0))),CsqR→(NOT (chb_e > 0)),CsqR [R] metabolite-sensing,1
b3885,yihX,True,(b0683),(b0683),,,0
b3915,fieF,False,TRUE,TRUE,,,0
b3924,fpr,True,(b1531 OR b4062),(b1531 OR b4062),,,0
b3925,glpX,True,(NOT b3423),(NOT b3423),,,0
b3943,yijE,False,TRUE,TRUE,,,0
b3996,nudC,True,(NOT b1988),(NOT b1988),,,0
b4020,yjbB,True,(NOT b1988),(NOT b1988),,,0
b4055,aphA,False,TRUE,TRUE,,,0
b4064,ghxP,False,TRUE,TRUE,,,0
b4067,actP,True,(b3357 AND NOT IHF AND NOT b3261),(b3357 AND NOT (BiomassEcoli > 0) AND NOT b3261),IHF→(BiomassEcoli > 0),IHF [P] proxy-signal,1
b4070,nrfA,True,((NarP OR b1334 OR b1221 OR IHF) AND NOT NsrR AND NOT b3261),(((no3_e > 0 OR no2_e > 0) OR b1334 OR b1221 OR (BiomassEcoli > 0)) AND NOT (NOT (no_e > 0)) AND NOT b3261),NarP→(no3_e > 0 OR no2_e > 0); NsrR→(NOT (no_e > 0)); IHF→(BiomassEcoli > 0),NarP [P] two-component; IHF [P] proxy-signal; NsrR [R] metabolite-sensing,3
b4071,nrfB,True,((NarP OR b1334 OR b1221 OR IHF) AND NOT NsrR AND NOT b3261),(((no3_e > 0 OR no2_e > 0) OR b1334 OR b1221 OR (BiomassEcoli > 0)) AND NOT (NOT (no_e > 0)) AND NOT b3261),NarP→(no3_e > 0 OR no2_e > 0); NsrR→(NOT (no_e > 0)); IHF→(BiomassEcoli > 0),NarP [P] two-component; IHF [P] proxy-signal; NsrR [R] metabolite-sensing,3
b4072,nrfC,True,((NarP OR b1334 OR b1221 OR IHF) AND NOT b3261),(((no3_e > 0 OR no2_e > 0) OR b1334 OR b1221 OR (BiomassEcoli > 0)) AND NOT b3261),NarP→(no3_e > 0 OR no2_e > 0); IHF→(BiomassEcoli > 0),NarP [P] two-component; IHF [P] proxy-signal,2
b4073,nrfD,True,((NarP OR b1334 OR b1221 OR IHF) AND NOT b3261),(((no3_e > 0 OR no2_e > 0) OR b1334 OR b1221 OR (BiomassEcoli > 0)) AND NOT b3261),NarP→(no3_e > 0 OR no2_e > 0); IHF→(BiomassEcoli > 0),NarP [P] two-component; IHF [P] proxy-signal,2
b4084,alsK,False,TRUE,TRUE,,,0
b4085,alsE,False,TRUE,TRUE,,,0
b4086,alsC,False,TRUE,TRUE,,,0
b4087,alsA,False,TRUE,TRUE,,,0
b4088,alsB,False,TRUE,TRUE,,,0
b4092,phnP,True,(b0399),(b0399),,,0
b4093,phnO,True,(b0399),(b0399),,,0
b4094,phnN,True,(b0399),(b0399),,,0
b4095,phnM,True,(b0399),(b0399),,,0
b4096,phnL,True,(b0399),(b0399),,,0
b4098,phnJ,True,(b0399),(b0399),,,0
b4099,phnI,True,(b0399),(b0399),,,0
b4100,phnH,True,(b0399),(b0399),,,0
b4101,phnG,True,(b0399),(b0399),,,0
b4104,phnE,False,TRUE,TRUE,,,0
b4105,phnD,True,(b0399),(b0399),,,0
b4106,phnC,False,TRUE,TRUE,,,0
b4115,adiC,True,(GadRcs),(((NOT (o2_e > 0)) AND (pH < 5.5))),GadRcs→((NOT (o2_e > 0)) AND (pH < 5.5)),GadRcs [R] metabolite-sensing,1
b4129,lysU,True,(NOT b1988 AND NOT b0889),(NOT b1988 AND NOT b0889),,,0
b4130,dtpC,False,TRUE,TRUE,,,0
b4136,dsbD,False,TRUE,TRUE,,,0
b4141,yjeH,True,(NOT b1988),(NOT b1988),,,0
b4146,epmB,False,TRUE,TRUE,,,0
b4159,mscM,False,TRUE,TRUE,,,0
b4161,rsgA,True,(NOT GlaR),(NOT (NOT (glcr_e > 0))),GlaR→(NOT (glcr_e > 0)),GlaR [R] metabolite-sensing,1
b4167,nnr,False,TRUE,TRUE,,,0
b4169,amiB,True,(NOT b1988),(NOT b1988),,,0
b4173,hflX,True,(NOT b3357),(NOT b3357),,,0
b4192,ulaG,True,(NOT UlaR),(NOT (NOT (larab_e > 0))),UlaR→(NOT (larab_e > 0)),UlaR [R] metabolite-sensing,1
b4193,ulaA,True,(b3357 AND NOT UlaR),(b3357 AND NOT (NOT (larab_e > 0))),UlaR→(NOT (larab_e > 0)),UlaR [R] metabolite-sensing,1
b4194,ulaB,True,(b3357 AND NOT UlaR),(b3357 AND NOT (NOT (larab_e > 0))),UlaR→(NOT (larab_e > 0)),UlaR [R] metabolite-sensing,1
b4195,ulaC,True,(b3357 AND NOT UlaR),(b3357 AND NOT (NOT (larab_e > 0))),UlaR→(NOT (larab_e > 0)),UlaR [R] metabolite-sensing,1
b4209,ytfE,True,(NOT NsrR),(NOT (NOT (no_e > 0))),NsrR→(NOT (no_e > 0)),NsrR [R] metabolite-sensing,1
b4213,cpdB,True,(b3357 AND NOT b1988),(b3357 AND NOT b1988),,,0
b4214,cysQ,True,(b1988),(b1988),,,0
b4219,msrA,True,(b1988),(b1988),,,0
b4233,mpl,True,(NOT Cra),(NOT (NOT (glc_DASH_D_e > 0))),Cra→(NOT (glc_DASH_D_e > 0)),Cra [P] named-variable,1
b4237,nrdG,True,(b1334 AND NOT H-NS AND NOT b1988 AND NOT NrdR),(b1334 AND NOT H-TRUE AND NOT b1988 AND NOT (TRUE)),NrdR→(TRUE),H-NS [P] proxy-signal; NrdR [R] metabolite-sensing,1
b4242,mgtA,True,(PhoP),((NOT (mg2_e > 0))),PhoP→(NOT (mg2_e > 0)),PhoP [P] two-component,1
b4260,pepA,True,(NOT PepA),(NOT (TRUE)),PepA→(TRUE),PepA [R] metabolite-sensing,1
b4261,lptF,False,TRUE,TRUE,,,0
b4262,lptG,False,TRUE,TRUE,,,0
b4269,ahr,False,TRUE,TRUE,,,0
b4287,fecE,True,(NOT b0683),(NOT b0683),,,0
b4288,fecD,True,(NOT b0683),(NOT b0683),,,0
b4289,fecC,True,(NOT b0683),(NOT b0683),,,0
b4290,fecB,True,(NOT b0683),(NOT b0683),,,0
b4291,fecA,True,(NOT b0683),(NOT b0683),,,0
b4297,yjhG,False,TRUE,TRUE,,,0
b4298,yjhH,False,TRUE,TRUE,,,0
b4311,nanC,True,(b3357 AND NOT Spf AND NOT b0676 AND NOT NanR),(b3357 AND NOT (NOT (glc_DASH_D_e > 0)) AND NOT b0676 AND NOT (NOT (acnam_e > 0))),NanR→(NOT (acnam_e > 0)); Spf→(NOT (glc_DASH_D_e > 0)),Spf [P] proxy-signal; NanR [R] metabolite-sensing,2
b4337,mdtM,True,(SlyA),((Stress)),SlyA→(Stress),SlyA [R] metabolite-sensing,1
b4352,yjiA,False,TRUE,TRUE,,,0
b4356,lgoT,False,TRUE,TRUE,,,0
b4358,lgoD,True,(NOT b3094 AND NOT b4324),(NOT b3094 AND NOT b4324),,,0
b4367,fhuF,True,(NOT b1988 AND NOT b0683 AND NOT b3961),(NOT b1988 AND NOT b0683 AND NOT b3961),,,0
b4374,yjjG,False,TRUE,TRUE,,,0
b4386,lplA,False,TRUE,TRUE,,,0
b4390,nadR,False,TRUE,TRUE,,,0
b4392,slt,True,(b3912),(b3912),,,0
b4394,yjjX,False,TRUE,TRUE,,,0
b4460,araH,True,(b3357 OR b0064),(b3357 OR b0064),,,0
b4464,ghxQ,False,TRUE,TRUE,,,0
b4467,glcF,True,(b2980 AND NOT b4401 AND NOT b0113),(b2980 AND NOT b4401 AND NOT b0113),,,0
b4468,glcE,True,(b2980 AND NOT b4401 AND NOT b0113),(b2980 AND NOT b4401 AND NOT b0113),,,0
b4471,tdcG,True,(b3118 OR b3357 OR IHF OR b3119),(b3118 OR b3357 OR (BiomassEcoli > 0) OR b3119),IHF→(BiomassEcoli > 0),IHF [P] proxy-signal,1
b4474,frlC,True,(NOT FrlR),(NOT (NOT (fru_e > 0))),FrlR→(NOT (fru_e > 0)),FrlR [R] metabolite-sensing,1
b4476,gntU,True,(b3357 AND NOT b3438),(b3357 AND NOT b3438),,,0
b4477,dgoA,True,(b3357 AND NOT DgoR),(b3357 AND NOT (NOT (galctn_DASH_D_e > 0))),DgoR→(NOT (galctn_DASH_D_e > 0)),DgoR [R] metabolite-sensing,1
b4478,dgoD,True,(b3357 AND NOT DgoR),(b3357 AND NOT (NOT (galctn_DASH_D_e > 0))),DgoR→(NOT (galctn_DASH_D_e > 0)),DgoR [R] metabolite-sensing,1
b4481,wecF,False,TRUE,TRUE,,,0
b4485,ytfR,True,(NOT b0064),(NOT b0064),,,0
b4513,kdpF,True,(b0694),(b0694),,,0
b4515,cydX,False,TRUE,TRUE,,,0
b4544,arnE,True,(BasR),((NOT (fe2_e > 0))),BasR→(NOT (fe2_e > 0)),BasR [P] two-component,1
s0001,s0001,False,TRUE,TRUE,,,0
