substrate,ko_gene,ko_gene_name,ko_type,ko_reaction,rescue_reaction,rescue_rxn_name,match_key,match_type,rescue_source,rescue_layer,rescue_gene_rule,rescued_biomass,wt_biomass,pct_rescue,n_rescue_variants,n_ko_reactions
D-Fructose,b3919,tpiA,single,TPI,MNXR51088; TPIh,rhea:18585; Triosephosphate isomerase,ec:5.3.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.80914,0.80914,100.0,2,1
D-Galactonic Acid,b3691,dgoT,single,GALCTNt2pp,GALCTNt2r,"D-galactonate transport via proton symport, reversible",mnx:MNXR99960,mnx,iJR904,2,b3691,0.71209,0.71209,100.0,1,1
D-Galactonic Acid,b3693,dgoK,single,DDGALK,DDGLK,2-dehydro-3-deoxygluconokinase,ec:2.7.1.178,ec,iML1515,1,b3526,0.71209,0.71209,100.0,1,1
D-Galactonic Acid,b4477,dgoA,single,DDPGALA,EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,ec:4.1.2.55,ec,iML1515,1,b1850,0.71209,0.71209,100.0,1,1
D-Galactonic Acid,b4478,dgoD,single,GALCTND,GALCTND,Galactonate dehydratase,direct_restore,direct_restore,no_library_analogue,0,b4478,0.71209,0.71209,100.0,1,1
D-Galactose,b0757,galK,single,GALKr,GALKh; MNXR20373; MNXR32659,"rhea:13553; seed:rxn00808; Galactokinase, chloroplast",ec:2.7.1.6,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.78923,0.78923,100.0,3,1
D-Galactose,b0758,galT,single,UGLT,MNXR70038,rhea:13989,ec:2.7.7.12,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,0.78923,0.78923,100.0,1,1
D-Galactose,b0759,galE,single,UDPG4E,MNXR6118; MNXR70029; UAG4E; UAG4Ei,kegg:R02984; rhea:22168; UDP-N-acetylglucosamine 4-epimerase; UDP N acetylglucosamine 4 epimerase,ec:5.1.3.2,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.78923,0.78923,100.0,4,1
D-Glucuronic Acid,b1850,eda,single,EDA,DDPGALA,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,ec:4.1.2.55,ec,iML1515,1,b4477,0.69863,0.69863,100.0,1,1
D-Glucuronic Acid,b3092,uxaC,single,GUI1,GUI2; MNXR2849; MNXR2850; MNXR84894,Glucuronate isomerase (D-galacturonate); rhea:13049; rhea:27702; kegg:R01983,ec:5.3.1.12,ec,iML1515; metanetx_universal_model_bigg_rhea_kegg_brenda,1,b3092,0.69863,0.69863,100.0,4,1
