substrate,gene1,gene2,gene3,gene1_name,gene2_name,gene3_name,ko_type,wt_growth
L-Fucose,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.6455
L-Fucose,b0763,b2425,b3917,modA,cysP,sbp,triple,0.6455
L-Fucose,b0765,b2425,b3917,modC,cysP,sbp,triple,0.6455
L-Fucose,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.6455
L-Fucose,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.6455
L-Fucose,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.6455
L-Fucose,b0764,b2425,b3917,modB,cysP,sbp,triple,0.6455
D-Saccharic Acid,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.6025
D-Saccharic Acid,b0763,b2425,b3917,modA,cysP,sbp,triple,0.6025
D-Saccharic Acid,b0765,b2425,b3917,modC,cysP,sbp,triple,0.6025
D-Saccharic Acid,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.6025
D-Saccharic Acid,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.6025
D-Saccharic Acid,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.6025
D-Saccharic Acid,b0764,b2425,b3917,modB,cysP,sbp,triple,0.6025
Mucic Acid,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.6025
Mucic Acid,b0763,b2425,b3917,modA,cysP,sbp,triple,0.6025
Mucic Acid,b0765,b2425,b3917,modC,cysP,sbp,triple,0.6025
Mucic Acid,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.6025
Mucic Acid,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.6025
Mucic Acid,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.6025
Mucic Acid,b0764,b2425,b3917,modB,cysP,sbp,triple,0.6025
alpha-Keto-Glutaric,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.5413
alpha-Keto-Glutaric,b0763,b2425,b3917,modA,cysP,sbp,triple,0.5413
