reaction_id,reaction_name,subsystem,gpr,off_in_n,conditions,off_genes,wt_flux,aerobic_glucose,anaerobic_glucose,aerobic_glucose_acetate,aerobic_glucose_lactose
ALDD19xr,"Aldehyde dehydrogenase (phenylacetaldehyde, NAD)",Other metabolism,b1385,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1385,0.0,1,1,1,1
ALLPI,Allose 6-phosphate isomerase,Inorganic ion metabolism,b4090,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4090,0.0,1,1,1,1
ALLTAMH2,Allantoate amidinohydrolase,Other metabolism,b0516,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0516,0.0,1,1,1,1
AMALT1,Amylomaltase (maltotriose),Other metabolism,b3416,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3416,0.0,1,1,1,1
AMALT2,Amylomaltase (maltotetraose),Transport / Ion channels,b3416,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3416,0.0,1,1,1,1
AMALT3,Amylomaltase (maltopentaose),Transport / Ion channels,b3416,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3416,0.0,1,1,1,1
AMALT4,Amylomaltase (maltohexaose),Transport / Ion channels,b3416,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3416,0.0,1,1,1,1
AMPNTAT,Aminoalkylphosphonate N-acetyltransferase,Other metabolism,b4093,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4093,0.0,1,1,1,1
AP4AS,Ap4A synthetase,Other metabolism,b4129,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4129,0.0,1,1,1,1
ARABDI,L-fucose isomerase,Sugar catabolism,b2802,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2802,0.0,1,1,1,1
ARAI,L-arabinose isomerase,Sugar catabolism,b0062,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0062,0.0,1,1,1,1
ARBt2rpp,L-arabinose transport via proton symport (periplasm),Transport / Ion channels,b2841,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2841,0.0,1,1,1,1
ARGAGMt7pp,Arginine/agmatine antiport (periplasm),Transport / Ion channels,b4115,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4115,0.0,1,1,1,1
ARGDC,Arginine decarboxylase,Amino acid biosynthesis,b4117,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4117,0.0,1,1,1,1
ASCBPL,L-ascorbate 6-phosphate lactonase,Inorganic ion metabolism,b4192,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4192,0.0,1,1,1,1
ASNNpp,L-asparaginase,Other metabolism,b2957,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2957,0.0,1,1,1,1
ASPO3,L-aspartate oxidase,Oxidative phosphorylation,b2574,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2574,0.0,1,1,1,1
ASPO4,L-aspartate oxidase,Oxidative phosphorylation,b2574,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2574,0.0,1,1,1,1
ASPO6,L-aspartate oxidase,Oxidative phosphorylation,b2574,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2574,0.0,1,1,1,1
ASPt2_2pp,Aspartate transport via proton symport (2 H) (periplasm),Transport / Ion channels,b3528,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3528,0.0,1,1,1,1
AST,Arginine succinyltransferase,Amino acid biosynthesis,b1747,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1747,0.0,1,1,1,1
BMOCOS,Bis-molybdenum cofactor synthase,Other metabolism,b0827,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0827,0.0,1,1,1,1
BUTt2rpp,"Butyrate transport via proton symport, reversible (periplasm)",Transport / Ion channels,b2223,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2223,0.0,1,1,1,1
BWCOS,Tungsten bispterin cofactor synthase,Other metabolism,b0827,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0827,0.0,1,1,1,1
CFAS160E,"Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C16:0)",Fatty acid metabolism,b1661,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1661,0.0,1,1,1,1
CFAS160G,"Cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C16:0)",Fatty acid metabolism,b1661,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1661,0.0,1,1,1,1
CFAS180E,"Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C18:0)",Fatty acid metabolism,b1661,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1661,0.0,1,1,1,1
CFAS180G,"Cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C18:0)",Fatty acid metabolism,b1661,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1661,0.0,1,1,1,1
CHOLATEtpp,Cholate transport via proton antiport,Transport / Ion channels,b4337,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4337,0.0,1,1,1,1
CITt7pp,Citrate transport via succinate antiport (periplasm),Transport / Ion channels,b0612,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0612,0.0,1,1,1,1
CPL,Carbon-phosphorous lyase,Amino acid catabolism,b4098,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4098,0.0,1,1,1,1
CRNBTCT,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,Other metabolism,b0038,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0038,0.0,1,1,1,1
CRNCAL2,Carnitine-CoA Ligase,Other metabolism,b0037,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0037,0.0,1,1,1,1
CRNCAR,Carnitine-CoA racemase,Other metabolism,b0036,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0036,0.0,1,1,1,1
CRNCBCT,Crotonobetainyl-CoA: carnitine CoA transferase,Other metabolism,b0038,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0038,0.0,1,1,1,1
CRNCDH,Carnityl-CoA dehydratse,Other metabolism,b0036,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0036,0.0,1,1,1,1
CRNDCAL2,D-Carnitine-CoA Ligase,Other metabolism,b0037,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0037,0.0,1,1,1,1
CRNDt2rpp,D-carnitine outward transport (H+ antiport),Transport / Ion channels,b4111,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4111,0.0,1,1,1,1
CRNt2rpp,L-carnitine outward transport (H+ antiport),Transport / Ion channels,b4111,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4111,0.0,1,1,1,1
CRNt7pp,Carnitine/butyrobetaine antiporter (periplasm),Transport / Ion channels,b0040,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0040,0.0,1,1,1,1
CRNt8pp,L-carnitine/D-carnitine antiporter (periplasm),Transport / Ion channels,b0040,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0040,0.0,1,1,1,1
CTBTCAL2,Crotonobetaine-CoA Ligase,TCA cycle,b0037,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0037,0.0,1,1,1,1
CTBTt2rpp,Cronobetaine outward transport (H+ antiport),Transport / Ion channels,b4111,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4111,0.0,1,1,1,1
CYNTAH,Cyanate aminohydrolase,Other metabolism,b0340,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0340,0.0,1,1,1,1
CYNTt2pp,Cyanate transport via proton symport (periplasm),Transport / Ion channels,b0341,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0341,0.0,1,1,1,1
CYSDDS,D-cysteine desulfhydrase,Amino acid biosynthesis,b1919,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1919,0.0,1,1,1,1
CYTD,Cytidine deaminase,Amino acid catabolism,b2143,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2143,0.0,1,1,1,1
CYTDt2pp_copy2,Cytidine transport in via proton symport (periplasm),Transport / Ion channels,b2406,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2406,0.0,1,1,1,1
DAAD,D-Amino acid dehydrogenase,Other metabolism,b1189,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1189,0.0,1,1,1,1
DADA,Deoxyadenosine deaminase,Amino acid catabolism,b1623,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1623,0.0,1,1,1,1
DC6PDA,Chito-oligosaccharide mono-deacetylase,Other metabolism,b1733,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1733,0.0,1,1,1,1
DCYTD,Deoxycytidine deaminase,Amino acid catabolism,b2143,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2143,0.0,1,1,1,1
DDCAtexi,Fatty acid (dodecanoate) transport via facilitated irreversible diffusion (extracellular to periplasm),Transport / Ion channels,b2344,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2344,0.0,1,1,1,1
DDGALK,2-dehydro-3-deoxygalactonokinase,Other metabolism,b3693,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3693,0.0,1,1,1,1
DDGLCNt2rpp,"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)",Transport / Ion channels,b3909,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3909,0.0,1,1,1,1
DDGLK,2-dehydro-3-deoxygluconokinase,Other metabolism,b3526,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3526,0.0,1,1,1,1
DDPGALA,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Sugar catabolism,b4477,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4477,0.0,1,1,1,1
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",Other metabolism,b0596,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0596,0.0,1,1,1,1
DHBS,"2,3-dihydroxybenzoate adenylate synthase",Other metabolism,b0594,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0594,0.0,1,1,1,1
DHCIND,"2,3-dihydroxycinnamate dehydrogenase",Other metabolism,b2541,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2541,0.0,1,1,1,1
DHCINDO,"2,3-dihydroxycinnamate 1,2-dioxygenase",Other metabolism,b0348,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0348,0.0,1,1,1,1
DHPPD,"2,3-dihydroxyphenylpropionate dehydrogenase",Other metabolism,b2541,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2541,0.0,1,1,1,1
DMQMT,3-Dimethylubiquinonol 3-methyltransferase,Other metabolism,b2232,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2232,-0.0,1,1,1,1
DOGULNR,"2,3 dioxo-L-gulonate reductase",Oxidative phosphorylation,b3575,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3575,0.0,1,1,1,1
DRPA,Deoxyribose-phosphate aldolase,Nucleotide metabolism,b4381,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4381,0.0,1,1,1,1
DSBGGT,DsbG:glutathione thiotransferase,Oxidative stress response,b0604,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0604,0.0,1,1,1,1
DXYLK,1-Deoxy-D-xylulose kinase,Other metabolism,b3564,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3564,0.0,1,1,1,1
EDD,6-phosphogluconate dehydratase,Sugar catabolism,b1851,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1851,0.0,1,1,1,1
ENTCS,Enterochelin synthase,Other metabolism,b0583,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0583,0.0,1,1,1,1
ENTERES,Enterochelin Esterase,Other metabolism,b0585,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0585,0.0,1,1,1,1
F6Pt6_2pp,Fructose-6-phosphate transport via phosphate antiport (periplasm),Transport / Ion channels,b3666,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3666,0.0,1,1,1,1
FCI,L-fucose isomerase,Sugar catabolism,b2802,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2802,0.0,1,1,1,1
FCLK,L-fuculokinase,Other metabolism,b2803,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2803,0.0,1,1,1,1
FDMO,FMNH2-dependent monooxygenase,Other metabolism,b0935,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0935,0.0,1,1,1,1
FDMO2,FMNH2-dependent monooxygenase (methanesulfonate),Other metabolism,b0935,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0935,0.0,1,1,1,1
FDMO3,FMNH2-dependent monooxygenase (ethanesulfonate),Other metabolism,b0935,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0935,0.0,1,1,1,1
FDMO4,FMNH2-dependent monooxygenase (butanesulfonate),Other metabolism,b0935,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0935,0.0,1,1,1,1
FDMO6,FMNH2-dependent monooxygenase (sulfoacetate),Glyoxylate / Acetate,b0935,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0935,0.0,1,1,1,1
FE2t2pp,Iron (II) transport in via proton symport (periplasm),Transport / Ion channels,b2392,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2392,0.0,1,1,1,1
FE3DCITR5,Ferric-dicitrate reductase via nadph,Oxidative phosphorylation,b3070,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3070,0.0,1,1,1,1
FE3DHBZS3R,"Fe(III)-(2,3-dihydroxybenzoylserine)3 reductase via NADPH",Oxidative phosphorylation,b3070,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3070,0.0,1,1,1,1
FEENTERES,Enterochelin Esterase (Fe containing),Other metabolism,b0585,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0585,0.0,1,1,1,1
FEENTERR4,Fe-enterobactin reduction via nadph,Iron acquisition,b3070,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3070,0.0,1,1,1,1
FEOXAMR1,Ferroxamine reductase,Oxidative phosphorylation,b4367,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4367,0.0,1,1,1,1
FEOXAMR2,Ferroxamine reductase,Oxidative phosphorylation,b4367,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4367,0.0,1,1,1,1
FEOXAMR3,Ferroxamine reductase,Oxidative phosphorylation,b4367,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4367,0.0,1,1,1,1
FESR,Iron-sulfur cluster repair,Iron acquisition,b4209,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4209,0.0,1,1,1,1
FOMETRi,Aminomethyltransferase,Other metabolism,b2912,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2912,0.0,1,1,1,1
FORCT,Formyl-CoA Transferase,Other metabolism,b2374,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2374,0.0,1,1,1,1
FRUK,Fructose-1-phosphate kinase,Inorganic ion metabolism,b2168,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2168,0.0,1,1,1,1
FRULYSDG,Fructoselysine phosphate deglycase,Amino acid biosynthesis,b3371,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3371,0.0,1,1,1,1
FRULYSE,Fructoselysine 3-epimerase,Amino acid biosynthesis,b4474,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4474,0.0,1,1,1,1
FRULYSK,Fructoselysine Kinase,Amino acid biosynthesis,b3374,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3374,0.0,1,1,1,1
FRULYSt2pp,Fructoselysine transport via proton symport (periplasm),Transport / Ion channels,b3370,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3370,0.0,1,1,1,1
FRUURt2rpp,"D-fructuronate transport via proton symport, reversible (periplasm)",Transport / Ion channels,b4321,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4321,0.0,1,1,1,1
